principio_ativo;nome_comercial;APRESENTAÇÃO
"CEPA INFLUENZA TIPO A (H3N2);CEPA INFLUENZA TIPO A (H1N1);CEPA INFLUENZA TIPO B;CEPA INFLUENZA TIPO B";VAXIGRIP TETRA;SUS INJ CT 1 SER PREENC VD TRANS X 0.5 ML
"CEPA INFLUENZA TIPO A (H3N2);CEPA INFLUENZA TIPO A (H1N1);CEPA INFLUENZA TIPO B;CEPA INFLUENZA TIPO B";VAXIGRIP TETRA;SUS INJ CT 10 SER PREENC VD TRANS X 0.5 ML
"CEPA INFLUENZA TIPO A (H3N2);CEPA INFLUENZA TIPO A (H1N1);CEPA INFLUENZA TIPO B;CEPA INFLUENZA TIPO B";VAXIGRIP TETRA;SUS INJ CT 20 SER PREENC VD TRANS X 0.5 ML
"CEPA INFLUENZA TIPO A (H3N2);CEPA INFLUENZA TIPO A (H1N1);CEPA INFLUENZA TIPO B;CEPA INFLUENZA TIPO B";VAXIGRIP TETRA;SUS INJ CT 1 SER PREENC VD TRANS C/ AGU ACOPLADA X 0.5 ML
"CEPA INFLUENZA TIPO A (H3N2);CEPA INFLUENZA TIPO A (H1N1);CEPA INFLUENZA TIPO B;CEPA INFLUENZA TIPO B";VAXIGRIP TETRA;SUS INJ CT 10 SER PREENC VD TRANS C/ AGU ACOPLADA X 0.5 ML
"CEPA INFLUENZA TIPO A (H3N2);CEPA INFLUENZA TIPO A (H1N1);CEPA INFLUENZA TIPO B;CEPA INFLUENZA TIPO B";VAXIGRIP TETRA;SUS INJ CT 20 SER PREENC VD TRANS C/ AGU ACOPLADA X 0.5 ML
"CEPA INFLUENZA TIPO A (H3N2);CEPA INFLUENZA TIPO A (H1N1);CEPA INFLUENZA TIPO B;CEPA INFLUENZA TIPO B";EFLUELDA;(60 + 60 + 60 + 60) MCG SUS INJ IM CT SER PREENC VD TRANS X 0.7 ML
"CEPA INFLUENZA TIPO A (H3N2);CEPA INFLUENZA TIPO A (H1N1);CEPA INFLUENZA TIPO B;CEPA INFLUENZA TIPO B";EFLUELDA;(60 + 60 + 60 + 60) MCG SUS INJ IM CT SER PREENC VD TRANS X 0.7 ML + AGU
"CEPA INFLUENZA TIPO A (H3N2);CEPA INFLUENZA TIPO A (H1N1);CEPA INFLUENZA TIPO B;CEPA INFLUENZA TIPO B";EFLUELDA;(60 + 60 + 60 + 60) MCG SUS INJ IM CT 5 SER PREENC VD TRANS X 0.7 ML
"CEPA INFLUENZA TIPO A (H3N2);CEPA INFLUENZA TIPO A (H1N1);CEPA INFLUENZA TIPO B;CEPA INFLUENZA TIPO B";EFLUELDA;(60 + 60 + 60 + 60) MCG SUS INJ IM CT 5 SER PREENC VD TRANS X 0.7 ML + 5 AGU
CEPA INFLUENZA TIPO B;FLUQUADRI;SUS INJ CT 5 SER PREENC VD TRANS X 0.25 ML
CEPA INFLUENZA TIPO B;FLUQUADRI;SUS INJ CT 10 SER PREENC VD TRANS X 0.25 ML
CEPA INFLUENZA TIPO B;FLUQUADRI;SUS INJ CT 5 SER PREENC VD TRANS X 0.5 ML
CEPA INFLUENZA TIPO B;FLUQUADRI;SUS INJ CT 10 SER PREENC VD TRANS X 0.5 ML
CEPA INFLUENZA TIPO B;FLUQUADRI;SUS INJ CT 1 FA VD TRANS X 5 ML
"CEREUS JAMACARU;HIMATANTHUS LANCIFOLIUS;DORSTENIA MULTIFORMIS;ERYTHRINA VELUTINA";FLOR DA NOITE COMPOSTA;(0.1+0.04+0.04+0.02)ML/ML TINT CT FR VD AMB X 100 ML + CP MED
"CEREUS JAMACARU;HIMATANTHUS LANCIFOLIUS;DORSTENIA MULTIFORMIS;ERYTHRINA VELUTINA";FLOR DA NOITE COMPOSTA;500 MG CAP GEL DURA CT FR PLAS OPC X 50
CERTOLIZUMABE PEGOL;CIMZIA;200 MG/ML SOL INJ CT 2 SER VD INC PREENC X 1 ML + 2 LENÇOS UMEDECIDOS
CERTOLIZUMABE PEGOL;CIMZIA;200 MG/ML SOL INJ CT 6 SER VD INC PREENC X 1 ML + 6 LENÇOS UMEDECIDOS
CETOCONAZOL;CONAZOL;20 MG/G CREM DERM CT BG AL X 20 G
CETOCONAZOL;CONAZOL;20 MG/G XAMP CT FR PLAS OPC X 100 ML
CETOCONAZOL;CETOCONAZOL-MICRONIZADO;20 MG/G CREM DERM CT BG AL X 20 G
CETOCONAZOL;NORIDERM;20 MG/G  CREM DERM CT BG AL X 20 G
CETOCONAZOL;CETOCONAZOL;20 MG/G CREM DERM CT BG AL X 30 G
CETOCONAZOL;CETOCONAZOL;200 MG COM CT BL AL PLAS OPC X 10 
CETOCONAZOL;CETOCONAZOL;200 MG COM CT BL AL PLAS OPC X 30
CETOCONAZOL;CETOCONAZOL;20 MG/ML SHAMP CT FR PLAS OPC X 100 ML
CETOCONAZOL;NORIDERM;20 MG/ML SHAMP CT FR PLAS OPC X 100 ML
CETOCONAZOL;LOZAN;20 MG/ML XAMP CT FR PLAS OPC X 100 ML
CETOCONAZOL;LOZAN;20 MG/G CREM DERM CT BG AL X 30 G
CETOCONAZOL;LOZAN;200 MG COM CT BL AL AL X 10
CETOCONAZOL;LOZAN;200 MG COM CT BL AL AL X 30
CETOCONAZOL;CETOCONAZOL;20 MG/ML XAMP CT FR PLAS OPC X 100 ML
CETOCONAZOL;CETOCONAZOL;20 MG/G CREM DERM CT BG AL X 30 G
CETOCONAZOL;CETOCONAZOL;200 MG COM CT BL AL AL X 10
CETOCONAZOL;CETOCONAZOL;200 MG COM CT BL AL AL X 30
CETOCONAZOL;DERMITRAT;20 MG/G CREM DERM CT BG AL X 30 G
CETOCONAZOL;DERMITRAT;20 MG/ML XAMP CT FR PLAS OPC X 100 ML 
CETOCONAZOL;CETOCONAZOL;20 MG/G CREM DERM CT BG AL X 30 G
CETOCONAZOL;CETOCONAZOL;200 MG COM CT BL AL PLAS TRANS X 10
CETOCONAZOL;CETOCONAZOL;200 MG COM CT BL AL PLAS TRANS X 30
CETOCONAZOL;CETOCONAZOL;20 MG/G CREM DERM CT BG AL X 30 G
CETOCONAZOL;CETOCONAZOL;20 MG/ML XAMP CT FR PLAS OPC X 100 ML
CETOCONAZOL;CETOMICOSS;0.02 G/G CREM DERM CT BG AL X 20 G
CETOCONAZOL;CETOMICOSS;200 MG COM CT BL AL PLAS TRANS X 10 
CETOCONAZOL;CETOMICOSS;200 MG COM CT BL AL PLAS TRANS X 30
CETOCONAZOL;CETOCONAZOL;200 MG COM CT BL AL PLAS TRANS X 10 
CETOCONAZOL;CETOCONAZOL;200 MG COM CT BL AL PLAS TRANS X 30
CETOCONAZOL;CETOCONAZOL;0.02 G/G CREM DERM CT BG AL X 20 G
CETOCONAZOL;CETODERM;20 MG/G CREM DERM CT BG AL X 30 G
CETOCONAZOL;CANDORAL;200 MG COM CT BL AL PLAS TRANS X 10
CETOCONAZOL;CETOCONAZOL;200 MG COM CT BL AL PLAS TRANS X 10 
CETOCONAZOL;CETOCONAZOL;200 MG COM CT BL AL PLAS TRANS X 30
CETOCONAZOL;CETOCONAZOL;20 MG/G CREM DERM CT BG AL X 30 G
CETOCONAZOL;CETOCONAZOL;200 MG COM CT BL AL PLAS OPC X 10 
CETOCONAZOL;CETOCONAZOL;20 MG/G CREM DERM CT BG AL X 20 G
CETOCONAZOL;CETOCONAZOL;20 MG/G CREM DERM CT BG AL X 30 G
CETOCONAZOL;CETOZOL;20 MG/ML XAMP CT FR PLAS OPC X 100 ML
CETOCONAZOL;CETOZOL;20 MG/G CREM DERM CT BG AL X 20 G
CETOCONAZOL;FUNGONAZOL;20 MG/ML SHAMP CT FR PLAS OPC X 100 ML 
CETOCONAZOL;CETOCONAZOL;20 MG/G CREM DERM CT BG AL X 30 G
CETOCONAZOL;CETOCONAZOL;20 MG/G CREM DERM CX 100 BG AL X 30 G (EMB HOSP)
CETOCONAZOL;CETOCONAZOL;20 MG/G CREM DERM CT BG AL X 30 G
CETOCONAZOL;NIZORAL;20 MG/G CREM DERM CT BG AL X 30 G
CETOCONAZOL;CETONAX;20 MG/G CREM DERM CT BG AL X 30 G
CETOCONAZOL;CETOCONAZOL;20 MG/G CREM DERM CX 100 BG AL X 30 G 
CETOCONAZOL;CETOCONAZOL;20 MG/G CREM DERM CX 100 BG PLAS OPC X 30 G 
CETOCONAZOL;CETONIN;20 MG/G CREM DERM  CT BG AL X 30 G
CETOCONAZOL;CETOCONAZOL;200 MG COM CT STR AL X 10
CETOCONAZOL;CETOCONAZOL;200 MG COM CT  STR AL  X 30
CETOCONAZOL;CETOCONAZOL;20 MG/G CREM CT BG AL X 30 G
CETOCONAZOL;CETOCONAZOL;20 MG/G CREM CX 100 BG AL X 30 G (EMB HOSP)
CETOCONAZOL;CETOCONAZOL;"20 MG/G SHAMP CT FR PLAS OPC X 100 ML &nbsp;01"
CETOCONAZOL;CETOCONAZOL;20 MG/G SHAMP CX 50 FR PLAS OPC X 100 ML (EMB HOSP)
CETOCONAZOL;CETOCONAZOL;200 MG COM CT BL AL PLAS TRANS X 10
CETOCONAZOL;CETOCONAZOL;200 MG COM CT BL AL PLAS TRANS X 30
CETOCONAZOL;CETOCONAZOL;200 MG COM CT BL AL PLAS TRANS X 450
CETOCONAZOL;CETOCONAZOL;200 MG COM CT BL AL PLAS TRANS X 80 (EMB FRAC)
CETOCONAZOL;TRICORTID;(20.0 + 0.64 + 2.5) MG/G CREM DERM CT BG AL X 30 G
CETOCONAZOL;TRICORTID;(20.0 + 0.64 + 2.5) MG/G POM DERM CT BG AL X 30 G
CETOCONAZOL;CETOCONAZOL;20 MG/ G CREM DERM CT BG AL X 30 G
CETOCONAZOL;CETOCONAZOL;200 MG COM CT BL AL PLAS TRANS X 30 
CETOCONAZOL;CETOCONAZOL;200 MG COM CT BL AL PLAS TRANS X 10
CETOCONAZOL;IZONAX;200 MG COM CT BL AL PLAS TRANS X 10
CETOCONAZOL;IZONAX;200 MG COM CT BL AL PLAS TRANS X 30
CETOCONAZOL;IZONAX;20 MG/G CREM DERM CT BG AL X 30 G 
CETOCONAZOL;CETOMED;200 MG COM CT BL AL PLAS TRANS X 10
CETOCONAZOL;CETOCONAZOL;20 MG/G CREM DERM CT BG AL X 30 G
CETOCONAZOL;CLEARTOP;20 MG/ G CREM CT BG AL X 30 G 
CETOCONAZOL;CLEARTOP;20 MG/ ML XAMP CT FR PLAS OPC X 100 ML
CETOCONAZOL;CETOCONAZOL;20 MG/ML XAMP CT FR PLAS OPC X 100 ML
CETOCONAZOL;CETOCONAZOL;200 MG COM CT BL AL PLAS TRANS X 10
CETOCONAZOL;CETOCONAZOL;200 MG COM CT BL AL PLAS TRANS X 30
CETOCONAZOL;CETOP;20MG /G XAMP CT FR PLAS OPC X 100 ML
CETOCONAZOL;CETOCONAZOL;20 MG/ML SHAMP CT FR PLAS X 100 ML
CETOCONAZOL;CETOCONAZOL;20 MG/ML SHAMP CX 80 FR PLAS X 100 ML (EMB HOSP)
CETOCONAZOL;CETONAT;20 MG/ML SHAMP CT FR PLAS X 100 ML 
CETOCONAZOL;ZOLMICOL;200 MG COM CT BL AL PLAS TRANS X 30
CETOCONAZOL;ZOLMICOL;20 MG/G CREM DERM CT 1 BG AL X 30 G
CETOCONAZOL;ZOLMICOL;20 MG/G CREM DERM CX 50 BG AL X 30 G
CETOCONAZOL;CETOCONAZOL;200 MG COM CT BL AL PLAS TRANS X 10
CETOCONAZOL;CETOCONAZOL;200 MG COM CT BL AL PLAS TRANS X 30
CETOCONAZOL;CETOCONAZOL;200 MG COM CT BL AL PLAS TRANS X 500
CETOCONAZOL;CETOCONAZOL;20 MG/G CREM DERM CT 1 BG AL X 30 G
CETOCONAZOL;CETOCONAZOL;20 MG/G CREM DERM CX 60 BG AL X 30 G
CETOCONAZOL;CETOCONAZOL;20 MG/G CREM DERM CX 50 BG AL X 30 G
CETOCONAZOL;CETOCONAZOL;20 MG/G CREM DERM CX 100 BG AL X 30 G
CETOCONAZOL;CETOCONAZOL;200 MG COM CT BL AL PLAS TRANS X 60
CETOCONAZOL;CETOCONAZOL;200 MG COM CT BL AL PLAS TRANS X 90
CETOCONAZOL;CETOCONAZOL;200 MG COM CT BL AL PLAS TRANS X 450
CETOCONAZOL;CETONEO;200 MG COM CT BL  AL PLAS TRANS X 10
CETOCONAZOL;CETONEO;20 MG/G CREM DERM CT BG AL X 30 G
CETOCONAZOL;CETONEO;20 MG/ML XAMP CT FR PLAS OPC X 100 ML
CETOCONAZOL;CETONEO;20 MG/G CREM DERM CX 50 BG AL X 30 G
CETOCONAZOL;CETOCONAZOL;200 MG COM CT BL  AL PLAS INC  X 10
CETOCONAZOL;CETOCONAZOL;20 MG/G CREM DERM CT BG AL X 30 G
CETOCONAZOL;CETOCONAZOL;200 MG COM CT BL AL PLAS OPC X 10 
CETOCONAZOL;CETOCONAZOL;20 MG/G CREM DERM CT BG AL X 20 G
CETOCONAZOL;CETOCONAZOL;20 MG/G CREM DERM CT BG AL X 30 G
CETOCONAZOL;CETOCONAZOL;200 MG COM CT BL AL PLAS TRANS X 10 
CETOCONAZOL;CETOCONAZOL;200 MG COM CT  BL AL PLAS TRANS X 30 
CETOCONAZOL;CETOCONAZOL;20.0 MG/G CREM DERM CT BG AL X 30 G
CETOCONAZOL;CETOCONAZOL;20 MG/G XAMP CT FR PLAS OPC X 110 ML
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";CETOCONAZOL + DIPROPIONATO DE BETAMETASONA;20 MG/G + 0.64 MG/G POM DERM CT BG AL X 30 G 
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";CETOCONAZOL + DIPROPIONATO DE BETAMETASONA;20 MG/G + 0.64 MG/G CREM DERM CT BG AL X 30 G 
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";TROK;20 MG/G + 0.64 MG/G CREM DERM CT BG AL X 30 G 
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";TROK;20 MG/G + 0.64 MG/G CREM DERM CT BG AL X 10 G 
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";TROK;20 MG/G + 0.64 MG/G POM DERM CT BG AL X 30 G
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";TROK;20 MG/G + 0.64 MG/G POM DERM CT BG AL X 10 G
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";CETOCONAZOL + DIPROPIONATO DE BETAMETASONA;20 MG/G + 0.644 MG/G CREM DERM CT BG AL X 30 G
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";CETOCONAZOL + DIPROPIONATO DE BETAMETASONA;20 MG/G + 0.644 MG/G POM DERM CT BG AL X 30 G
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";DERMOCORTE;20 MG/G + 0.64 MG/G CREM DERM CT BG AL X 30 G
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";DERMOCORTE;20 MG/G + 0.64 MG/G POM DERM CT BG AL X 30 G
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";CETOCONAZOL + DIPROPIONATO DE BETAMETASONA;20 MG/G + 0.5 MG/G POM DERM CT BG AL X 30G
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";CETOCONAZOL+ DIPROPIONATO DE BETAMETASONA;20MG/G + 0.5 MG/G CREM DERM CT BG AL X 30G 
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";CETOCONAZOL+DIPROPIONATO DE BETAMETASONA;20 MG/G +0.64MG/G CREM DERM CT BG AL X 10G
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";CETOCONAZOL+DIPROPIONATO DE BETAMETASONA;20 MG/G +0.64MG/G CREM DERM CT BG AL X 30 G
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";CANDICORT;(20.0 + 0.64) MG/G CREM DERM CT BG AL X 10 G
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";CANDICORT;(20.0 + 0.64) MG/G CREM DERM CT BG AL X 30 G
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";CANDICORT;(20.0 + 0.64) MG/G POM DERM CT BG X 10 G
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";CANDICORT;(20.0 + 0.64) MG/G POM DERM CT BG AL X 30 G
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";CETOCONAZOL+DIPROPIONATO DE BETAMETASONA;20 MG/G +0.64MG/G CREM DERM CT BG AL X 10G
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";CETOCONAZOL+DIPROPIONATO DE BETAMETASONA;20 MG/G +0.64MG/G CREM DERM CT BG AL X 30 G
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";CETOCONAZOL+DIPROPIONATO DE BETAMETASONA;20 MG/G +0.64MG/G CREM DERM CX 200 BG AL X 10G 
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";CETOCONAZOL+DIPROPIONATO DE BETAMETASONA;20 MG/G +0.64MG/G CREM DERM CX 100 BG AL X 30G 
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";BETAPRO;20 MG/G +0.64MG/G CREM DERM CT BG AL X 10G
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";BETAPRO;20 MG/G +0.64MG/G CREM DERM CT BG AL X 30 G
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";FUNGICORT;20 MG/G + 0.5 MG/G POM DERM CT BG AL X 30 G
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";FUNGICORT;20 MG/G+ 0.5 MG/G CREM DERM CT BG AL X 30 G
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";CETOCONAZOL + DIPROPIONATO DE BETAMETASONA;20 MG/G + 0.644 MG/G CREM DERM CT BG AL X 30 G
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";CETOCONAZOL + DIPROPIONATO DE BETAMETASONA;(20.0 + 0.64) MG/G CREM DERM CT BG AL X 30 G  
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";CETOCONAZOL + DIPROPIONATO DE BETAMETASONA;(20.0 + 0.64) MG/G POM DERM CT BG AL X 30 G
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";CETOCONAZOL + DIPROPIONATO DE BETAMETASONA;20 MG/G + 0.5 MG/G POM DERM CT BG AL X 30 G
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";CETOCONAZOL + DIPROPIONATO DE BETAMETASONA;20 MG/G + 0.5 MG/G CREM DERM  CT BG AL X 30G
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";CONACORT;20 MG/G + 0.5 MG/G CREM DERM CT BG AL X 30 G
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";CONACORT;20 MG/G + 0.5 MG/G POM DERM CT BG AL X 30 G 
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";CETOCONAZOL + DIPROPIONATO DE BETAMETASONA;20 MG/G + 0.5 MG/G CREM DERM CT BG AL X 30 G
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";CETOCONAZOL + DIPROPIONATO DE BETAMETASONA;20 MG/G + 0.5 MG/G CREM DERM CX 60 BG AL X 30 G 
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";CETOCONAZOL + DIPROPIONATO DE BETAMETASONA;20 MG/G + 0.5 MG/G POM DERM CT BG AL X 30 G 
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";CETOCONAZOL + DIPROPIONATO DE BETAMETASONA;20 MG/G + 0.5 MG/G POM DERM CX 60 BG AL X 30 G
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";CANDIGRAN;20 MG/G + 0.644 MG/G CREM DERM CT BG AL X 30 G
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";CETOCONAZOL + DIPROPIONATO DE BETAMETASONA;20 MG/G + 0.644 MG/G POM DERM CT BG AL X 30 G
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";CETOCONAZOL + DIPROPIONATO DE BETAMETASONA;20 MG/G + 0.644 MG/G CREM DERM  CT BG AL X 30G
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";CETOCONAZOL + DIPROPIONATO DE BETAMETASONA;20 MG/G + 0.5 MG/G POM DERM CT BG AL X 30 G
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";CETOCONAZOL + DIPROPIONATO DE BETAMETASONA;20.0 MG/G + 0.5 MG/G CREM DERM CT BG AL X 30 G
"CETOCONAZOL;DIPROPIONATO DE BETAMETASONA";BETRIX;20 MG/G + 0.64MG/G CREM DERM CT BG AL X 30 G
CETOPROFENO;CETOPROFENO;100 MG PO LIOF SOL INJ IV CT 50 FA VD TRANS
CETOPROFENO;CETOPROFENO;20 MG/ML SOL OR CT FR VD AMB GOT X 20 ML
CETOPROFENO;CETOPROFENO;150 MG COM LIB PROL CT BL AL PLAS PVC PVDC TRANS X 10
CETOPROFENO;BICERTO;150 MG COM LIB PROL CT BL AL PLAS PVC PVDC TRANS X 4
CETOPROFENO;BICERTO;150 MG COM LIB PROL CT BL AL PLAS PVC PVDC TRANS X 10
CETOPROFENO;BICERTO IV;1.0 MG/ML SOL INFUS CX 60 ENVOL PEAD BOLS PLAS PP TRANS SIST FECH  X 100 ML
CETOPROFENO;ALGIE;150 MG COM LIB PROL CT BL AL PLAS PVC PVDC TRANS X 4
CETOPROFENO;ALGIE;150 MG COM LIB PROL CT BL AL PLAS PVC PVDC TRANS X 10
CETOPROFENO;CETOPROFENO;50 MG CAP DURA CT BL AL PLAS TRANS X 24 
CETOPROFENO;CETOPROFENO;150 MG COM LIB PROL CT BL AL PLAS PVC/PVDC OPC X 4
CETOPROFENO;CETOPROFENO;150 MG COM LIB PROL CT BL AL PLAS PVC/PVDC OPC X 10
CETOPROFENO;CETOPROFENO;150 MG COM LIB PROL CT BL AL PLAS PVC/PVDC OPC X 20
CETOPROFENO;CETOPROFENO;150 MG COM LIB PROL CT BL AL PLAS PVC/PVDC OPC X 30
CETOPROFENO;CETOPROFENO;150 MG COM LIB PROL CT BL AL PLAS PVC/PVDC OPC X 60
CETOPROFENO;RHALUNID;150 MG COM LIB PROL CT BL AL PLAS PVC/PVDC OPC X 4
CETOPROFENO;RHALUNID;150 MG COM LIB PROL CT BL AL PLAS PVC/PVDC OPC X 10
CETOPROFENO;RHALUNID;150 MG COM LIB PROL CT BL AL PLAS PVC/PVDC OPC X 20
CETOPROFENO;RHALUNID;150 MG COM LIB PROL CT BL AL PLAS PVC/PVDC OPC X 30
CETOPROFENO;RHALUNID;150 MG COM LIB PROL CT BL AL PLAS PVC/PVDC OPC X 60
CETOPROFENO;CETOPROFENO;50 MG/ML SOL INJ IM CX 6 AMP VD AMB X 2 ML
CETOPROFENO;CETOPROFENO;50 MG/ML SOL INJ IM CX 48 AMP VD AMB X 2 ML
CETOPROFENO;CETOPROFENO;50 MG/ML SOL INJ IM CX 25 AMP VD AMB X 2 ML
CETOPROFENO;CETOPROFENO;100 MG PÓ LIOF P/ SOL INJ CX 25 FA VD TRANS
CETOPROFENO;CETOPROFENO;100 MG PÓ LIOF P/ SOL INJ CX 50 FA VD TRANS
CETOPROFENO;AXIFLENNID;1 MG/ML SOL INFUS IV CT ENVOL BOLS PLAS PES/PE/PP TRANS SIST FECH X 100 ML
CETOPROFENO;AXIFLENNID;1 MG/ML SOL INFUS IV CX 10 ENVOL BOLS PLAS PES/PE/PP TRANS SIST FECH X 100 ML
CETOPROFENO;AXIFLENNID;1 MG/ML SOL INFUS IV CX 20 ENVOL BOLS PLAS PES/PE/PP TRANS SIST FECH X 100 ML
CETOPROFENO;AXIFLENNID;1 MG/ML SOL INFUS IV CX 60 ENVOL BOLS PLAS PES/PE/PP TRANS SIST FECH X 100 ML
CETOPROFENO;CETOPROFENO;20 MG/ML SOL OR CT FR GOT VD AMB X 20 ML
CETOPROFENO;CETOFENID;20 MG/ML SOL OR CT FR VD AMB GOT X 20 ML
CETOPROFENO;CETOFENID;25 MG/G GEL CT BG AL X 30 G
CETOPROFENO;CETOPROFENO;25 MG/G GEL CT BG AL X 30G 
CETOPROFENO;CETOFENID;50 MG/ML SOL INJ IM CT ENVOL 60 AMP VD AMB X 2 ML
CETOPROFENO;CETOFENID;100 MG PO SOL INFUS IV CT 50 FA VD AMB
CETOPROFENO;TRIPLOA;150 MG COM LIB PROL CT BL AL PLAS PVC PVDC TRANS X 4
CETOPROFENO;TRIPLOA;150 MG COM LIB PROL CT BL AL PLAS PVC PVDC TRANS X 10
CETOPROFENO;ARTRINID;50 MG/ML SOL INJ IM CT 50 AMP VD AMB X 2 ML
CETOPROFENO;ARTRINID;50 MG CAP DURA CT BL AL PLAS PVC TRANS X 24 
CETOPROFENO;ARTRINID;100 MG PO LIOF SOL INJ IV CT 50 FA VD TRANS
CETOPROFENO;CETOPROFENO;50 MG CAP DURA CT BL AL PLAS PVC TRANS X 24 
CETOPROFENO;ARTRINID IV;100 MG PO SOL INFUS IV CT 50 FA VD AMB
CETOPROFENO;CETOPROFENO;100MG COM REV LIB RETARD CT BL AL PLAS TRANS X 20
CETOPROFENO;CETOPROFENO;150 MG COM LIB PROL CT BL AL PLAS PVC/PVDC OPC X 10
CETOPROFENO;CEFTFENPRO LP;150 MG COM LIB PROL CT BL AL PLAS PVC/PVDC OPC X 4
CETOPROFENO;CEFTFENPRO LP;150 MG COM LIB PROL CT BL AL PLAS PVC/PVDC OPC X 10
CETOPROFENO;CEFTFENPRO LP;150 MG COM LIB PROL CT BL AL PLAS PVC/PVDC OPC X 20
CETOPROFENO;CEFTFENPRO LP;150 MG COM LIB PROL CT BL AL PLAS PVC/PVDC OPC X 30
CETOPROFENO;CEFTFENPRO LP;150 MG COM LIB PROL CT BL AL PLAS PVC/PVDC OPC X 60
CETOPROFENO;CETOPROFENO;50 MG/ML SOL INJ IM CX 50 AMP VD AMB X 2 ML
CETOPROFENO;CETOPROFENO;50 MG/ML SOL INJ IM CX 100 AMP VD AMB X 2 ML
CETOPROFENO;CETOPROFENO;150 MG COM LIB PROL CT BL AL PLAS PVC/PVDC OPC X 4
CETOPROFENO;CETOPROFENO;150 MG COM LIB PROL CT BL AL PLAS PVC/PVDC OPC X 10
CETOPROFENO;CETOPROFENO;150 MG COM LIB PROL CT BL AL PLAS PVC/PVDC OPC X 20
CETOPROFENO;CETOPROFENO;150 MG COM LIB PROL CT BL AL PLAS PVC/PVDC OPC X 30
CETOPROFENO;CETOPROFENO;150 MG COM LIB PROL CT BL AL PLAS PVC/PVDC OPC X 60
CETOPROFENO;FENBIP;150 MG COM LIB PROL CT BL AL PLAS PVC/PVDC OPC X 4
CETOPROFENO;FENBIP;150 MG COM LIB PROL CT BL AL PLAS PVC/PVDC OPC X 10
CETOPROFENO;FENBIP;150 MG COM LIB PROL CT BL AL PLAS PVC/PVDC OPC X 20
CETOPROFENO;FENBIP;150 MG COM LIB PROL CT BL AL PLAS PVC/PVDC OPC X 30
CETOPROFENO;FENBIP;150 MG COM LIB PROL CT BL AL PLAS PVC/PVDC OPC X 60
CETOPROFENO;CEPROFEN;50 MG CAP GEL DURA CT 2 BL AL PLAS INC X 12
CETOPROFENO;FLAMADOR;50 MG CAP DURA CT BL AL PLAS TRANS X 24 
CETOPROFENO;CETOPROFENO;150 MG COM LIB PROL CT BL AL PLAS PVC/PVDC OPC X 4
CETOPROFENO;CETOPROFENO;150 MG COM LIB PROL CT BL AL PLAS PVC/PVDC OPC X 10
CETOPROFENO;CETOPROFENO;150 MG COM LIB PROL CT BL AL PLAS PVC/PVDC OPC X 20
CETOPROFENO;CETOPROFENO;150 MG COM LIB PROL CT BL AL PLAS PVC/PVDC OPC X 30
CETOPROFENO;CETOPROFENO;150 MG COM LIB PROL CT BL AL PLAS PVC/PVDC OPC X 60
